ch1,ch2,ch3
0.04119873046875,0.0755615234375,0.031524658203125
0.04119873046875,0.07415771484375,0.02740478515625
0.026092529296875,0.04669189453125,0.0218963623046875
0.026092529296875,0.0494384765625,0.02191162109375
0.023345947265625,0.048065185546875,0.01641845703125
0.020599365234375,0.037078857421875,0.01506805419921875
0.012359619140625,0.028839111328125,0.006809234619140625
0.010986328125,0.026092529296875,0.0040740966796875
0.004119873046875,0.01373291015625,0.002696990966796875
-0.006866455078125,0.001373291015625,-0.006923675537109375
-0.006866455078125,-0.001373291015625,-0.01104736328125
-0.004119873046875,-0.001373291015625,-0.0027942657470703125
-0.0054931640625,-0.001373291015625,-0.002788543701171875
-0.006866455078125,-0.00274658203125,-0.00415802001953125
-0.012359619140625,-0.00823974609375,-0.0137786865234375
-0.015106201171875,-0.009613037109375,-0.0165252685546875
0.001373291015625,-0.001373291015625,0.0027065277099609375
-0.00274658203125,-0.001373291015625,-0.00278472900390625
-0.00823974609375,-0.0054931640625,-0.006908416748046875
-0.009613037109375,-0.00823974609375,-0.005527496337890625
-0.015106201171875,-0.010986328125,-0.0096435546875
-0.02471923828125,-0.012359619140625,-0.026123046875
-0.026092529296875,-0.012359619140625,-0.0206298828125
-0.02197265625,-0.006866455078125,-0.01514434814453125
-0.023345947265625,-0.009613037109375,-0.0247802734375
-0.028839111328125,-0.012359619140625,-0.0220184326171875
-0.028839111328125,-0.012359619140625,-0.0164947509765625
-0.028839111328125,-0.015106201171875,-0.0275115966796875
-0.03021240234375,-0.020599365234375,-0.0302734375
-0.039825439453125,-0.02471923828125,-0.03851318359375
-0.039825439453125,-0.031585693359375,-0.03851318359375
-0.048065185546875,-0.037078857421875,-0.041229248046875
-0.0494384765625,-0.039825439453125,-0.041229248046875
-0.0494384765625,-0.039825439453125,-0.0426025390625
-0.054931640625,-0.0439453125,-0.04534912109375
-0.054931640625,-0.0439453125,-0.043975830078125
-0.042572021484375,-0.032958984375,-0.03851318359375
-0.053558349609375,-0.045318603515625,-0.04534912109375
-0.06317138671875,-0.0604248046875,-0.0535888671875
-0.05767822265625,-0.054931640625,-0.053619384765625
-0.0604248046875,-0.06317138671875,-0.052215576171875
-0.059051513671875,-0.0645751953125,-0.049468994140625
-0.053558349609375,-0.056304931640625,-0.0426025390625
-0.053558349609375,-0.053558349609375,-0.03985595703125
-0.050811767578125,-0.05218505859375,-0.041229248046875
-0.0494384765625,-0.04669189453125,-0.035736083984375
-0.0439453125,-0.042572021484375,-0.035736083984375
-0.0439453125,-0.0384521484375,-0.0316162109375
-0.031585693359375,-0.034332275390625,-0.0233917236328125
-0.0274658203125,-0.0274658203125,-0.0233917236328125
-0.028839111328125,-0.026092529296875,-0.022003173828125
-0.032958984375,-0.026092529296875,-0.0302581787109375
-0.034332275390625,-0.02197265625,-0.0288848876953125
-0.026092529296875,-0.01922607421875,-0.0220184326171875
-0.020599365234375,-0.010986328125,-0.01514434814453125
-0.020599365234375,-0.009613037109375,-0.01377105712890625
-0.020599365234375,-0.009613037109375,-0.00963592529296875
-0.01922607421875,-0.006866455078125,-0.0041351318359375
-0.023345947265625,-0.004119873046875,-0.01238250732421875
-0.01922607421875,-0.00274658203125,-0.01238250732421875
-0.020599365234375,-0.010986328125,-0.013763427734375
-0.02197265625,-0.010986328125,-0.0220184326171875
-0.026092529296875,-0.012359619140625,-0.019256591796875
-0.03021240234375,-0.017852783203125,-0.024749755859375
-0.03570556640625,-0.026092529296875,-0.0357666015625
-0.039825439453125,-0.031585693359375,-0.0357666015625
-0.042572021484375,-0.034332275390625,-0.041229248046875
-0.04669189453125,-0.039825439453125,-0.0426025390625
-0.0439453125,-0.04119873046875,-0.0426025390625
-0.0439453125,-0.0439453125,-0.045379638671875
-0.042572021484375,-0.0439453125,-0.048126220703125
-0.032958984375,-0.0439453125,-0.044036865234375
-0.03021240234375,-0.0439453125,-0.03851318359375
-0.032958984375,-0.059051513671875,-0.03851318359375
-0.032958984375,-0.053558349609375,-0.037139892578125
-0.017852783203125,-0.04669189453125,-0.0220184326171875
-0.017852783203125,-0.0494384765625,-0.0220184326171875
-0.017852783203125,-0.037078857421875,-0.0247802734375
-0.017852783203125,-0.03570556640625,-0.0275421142578125
-0.017852783203125,-0.0384521484375,-0.0247802734375
-0.00823974609375,-0.037078857421875,-0.01103973388671875
-0.006866455078125,-0.03570556640625,-0.005535125732421875
-0.012359619140625,-0.032958984375,-0.015167236328125
-0.010986328125,-0.03021240234375,-0.01241302490234375
-0.015106201171875,-0.03021240234375,-0.0165252685546875
-0.009613037109375,-0.03021240234375,-0.0082855224609375
-0.0054931640625,-0.026092529296875,-0.0069122314453125
0.0,-0.023345947265625,0.0027065277099609375
-0.00274658203125,-0.017852783203125,0.00133514404296875
0.006866455078125,-0.012359619140625,0.006824493408203125
0.009613037109375,-0.009613037109375,0.0081939697265625
0.009613037109375,-0.004119873046875,0.006816864013671875
0.012359619140625,-0.001373291015625,0.005435943603515625
0.01373291015625,0.00274658203125,0.006805419921875
0.01373291015625,0.00274658203125,0.0081787109375
0.020599365234375,0.010986328125,0.012298583984375
0.02197265625,0.0164794921875,0.01505279541015625
0.031585693359375,0.02471923828125,0.020538330078125
0.0384521484375,0.031585693359375,0.026031494140625
0.0384521484375,0.031585693359375,0.028778076171875
0.037078857421875,0.03021240234375,0.02740478515625
0.037078857421875,0.03021240234375,0.02740478515625
0.034332275390625,0.031585693359375,0.024658203125
0.034332275390625,0.032958984375,0.024658203125
0.042572021484375,0.037078857421875,0.03289794921875
0.039825439453125,0.037078857421875,0.03704833984375
0.042572021484375,0.037078857421875,0.037017822265625
0.0494384765625,0.05218505859375,0.046661376953125
0.0494384765625,0.05218505859375,0.05078125
0.048065185546875,0.048065185546875,0.052154541015625
