ch1,ch2,ch3
-5.960464477539063e-08,0.0,-0.00010222196578979492
0.0253143310546875,0.0443115234375,0.10772705078125
0.0253143310546875,0.050628662109375,0.10772705078125
0.06329345703125,0.06329345703125,0.10125732421875
0.06329345703125,0.06329345703125,0.050537109375
-0.0379638671875,-0.031646728515625,-0.031707763671875
0.01265716552734375,0.01898193359375,0.0697021484375
0.01265716552734375,0.01898193359375,0.0697021484375
-0.0253143310546875,-0.031646728515625,-0.01270294189453125
-0.0253143310546875,-0.031646728515625,-0.01270294189453125
-0.06964111328125,-0.0443115234375,-0.07598876953125
-0.031646728515625,-0.050628662109375,-0.0190277099609375
-0.06329345703125,-0.0443115234375,-0.04443359375
-0.06329345703125,-0.0443115234375,-0.04443359375
-0.006328582763671875,-0.031646728515625,-0.050811767578125
-0.006328582763671875,-0.031646728515625,-0.0191497802734375
0.006328582763671875,0.01898193359375,0.01268768310546875
-0.01898193359375,-0.031646728515625,-0.0634765625
-0.01898193359375,-0.031646728515625,-0.0634765625
-0.09490966796875,-0.10125732421875,-0.09503173828125
-0.075927734375,-0.075927734375,-0.09503173828125
0.075927734375,0.01265716552734375,0.08221435546875
-0.0253143310546875,-0.050628662109375,-0.006473541259765625
-0.0253143310546875,-0.050628662109375,-0.006473541259765625
-0.1329345703125,-0.2088623046875,-0.1456298828125
0.0,-0.056976318359375,-0.057159423828125
0.0443115234375,-0.056976318359375,0.088623046875
-0.01265716552734375,0.0253143310546875,-0.03167724609375
-0.01265716552734375,-0.050628662109375,-0.03167724609375
-0.17724609375,-0.1265869140625,-0.2025146484375
-0.10125732421875,-0.06964111328125,-0.11419677734375
-0.10125732421875,-0.06964111328125,-0.082275390625
-0.10125732421875,0.050628662109375,-0.11395263671875
-0.10125732421875,-0.088623046875,-0.11395263671875
-0.09490966796875,-0.088623046875,-0.1708984375
-0.06329345703125,-0.158203125,-0.088623046875
-0.06329345703125,-0.1202392578125,-0.1014404296875
-0.056976318359375,-0.1202392578125,-0.1142578125
-0.0379638671875,-0.0379638671875,-0.1014404296875
-0.06329345703125,-0.088623046875,-0.1014404296875
-0.0379638671875,-0.088623046875,-0.0570068359375
-0.031646728515625,-0.1202392578125,-0.02532958984375
-0.10760498046875,-0.0443115234375,-0.133056640625
-0.0379638671875,-0.0443115234375,-0.025360107421875
0.050628662109375,0.01898193359375,-0.00018966197967529297
0.0,-0.006328582763671875,-7.295608520507812e-05
0.0,-0.006328582763671875,-7.295608520507812e-05
-0.01898193359375,-0.0253143310546875,-0.05078125
0.0443115234375,0.0379638671875,0.1138916015625
0.0443115234375,0.0379638671875,0.139404296875
0.10760498046875,0.09490966796875,0.0821533203125
0.075927734375,0.075927734375,0.0821533203125
